Time,0.1~4,4~7.5,8~13,13~30,30~70
2016_02_13_20_03_18_30883,361431.012166055,275848.5489504,241491.036668478,550186.025523684,641779.545342823
2016_02_13_20_03_22_30903,312485.447514738,283682.494884101,221498.775087043,560487.531812152,603050.877595229
2016_02_13_20_03_26_27797,365735.521085269,358974.349820072,257391.115298296,675415.634496693,612297.469080595
2016_02_13_20_03_30_25879,512029.131204912,413228.024128946,336258.760902571,662833.430642775,597793.53297238
2016_02_13_20_03_34_25899,288111.360487938,337996.863290249,277963.968042593,647406.842141885,696819.57583152
2016_02_13_20_03_38_22792,356487.481191721,315789.624050199,212235.219030477,514202.173438467,524154.423702726
2016_02_13_20_03_42_24151,412446.751267359,353232.428314279,245904.456281628,513850.454449674,493159.256449244
2016_02_13_20_03_46_20126,430485.356385767,244641.304524468,268401.668300545,449523.189955014,431481.01150015
2016_02_13_20_03_50_17678,529951.011049235,260463.24340235,238956.968495999,455569.990195429,495641.236204409
2016_02_13_20_03_54_19177,219340.070425973,228315.223628515,242230.681596478,439753.327990465,520994.349236531
2016_02_13_20_03_58_18151,371896.529714395,417821.019274576,320953.177759331,488077.161759402,445379.256141853
2016_02_13_20_04_02_19013,374301.017276088,242601.848160374,208590.170106502,380550.005273719,445356.459881705
2016_02_13_20_04_06_11939,313808.976122226,286388.740884898,224461.617647655,335638.588308866,395882.093315154
2016_02_13_20_04_10_13043,390399.619804804,418149.841636441,366713.059376612,673275.778863759,1041309.19639128
2016_02_13_20_04_14_08533,297615.777077752,285286.245530897,267782.70911181,534645.561173721,469210.252313022
2016_02_13_20_04_18_09784,265367.910190162,254655.385360855,254847.207067035,474230.945870757,528540.153225566
2016_02_13_20_04_22_09930,328766.792082785,291117.197808108,296755.258521014,556397.083541905,661958.462159279
2016_02_13_20_04_26_09733,360917.630657233,190173.125176593,220821.349016627,996655.476594876,747043.319960799
2016_02_13_20_04_30_04724,685556.605485085,252378.136760169,349018.560614898,1104993.92772963,736382.072850274
2016_02_13_20_04_34_04933,377463.902945388,341752.019703005,331619.81289943,1396014.38945433,1175829.49544194
2016_02_13_20_04_38_02156,358056.130933201,388701.392408844,306443.910463353,1157324.18901491,1486305.15853938
2016_02_13_20_04_42_02884,327664.58063532,315078.838144964,393108.854531081,1849355.20434489,998576.054630489
2016_02_13_20_04_46_00185,403322.143708183,390483.831479332,1146741.04208875,1494021.02168949,1003130.8417833
2016_02_13_20_04_49_97779,420474.228241626,518158.960731866,301746.423763777,708957.891922832,662548.854591701
2016_02_13_20_04_53_94725,366028.839448739,557918.855289748,392520.699483466,673524.771934566,630224.434960496
2016_02_13_20_04_57_96745,318540.207646695,305339.002287904,675845.342517204,586751.988227593,532586.271660763
2016_02_13_20_05_01_94868,313454.089382637,364726.141188526,464937.536669623,490049.089444699,505520.723345133
